color,num_critic_for_reviews,duration,director_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes,num_male,num_female,num_asian,num_black,num_hispanic,num_multiracial,num_nativeamerican
Color,673,183,0,330249062,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice ,371639,24450,0,based on comic book|batman|sequel to a reboot|superhero|superman,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018,English,USA,PG-13,250000000,2016,6.9,2.35,197000,13,4,4,2,8,4,0
Color,434,169,0,200069408,Action|Adventure|Sci-Fi,Superman Returns ,240396,29991,0,crystal|epic|lex luthor|lois lane|return to earth,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367,English,USA,PG-13,209000000,2006,6.1,2.35,0,12,5,5,6,4,5,1
Color,403,106,395,168368427,Action|Adventure,Quantum of Solace ,330784,2023,1,action hero|attempted rape|bond girl|official james bond series|revenge,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243,English,UK,PG-13,200000000,2008,6.7,2.35,0,12,3,3,2,7,2,1
Color,313,151,563,423032628,Action|Adventure|Fantasy,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,2,box office hit|giant squid|heart|liar's dice|monster,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832,English,USA,PG-13,225000000,2006,7.3,2.35,5000,14,7,7,7,0,1,2
Color,450,150,563,89289910,Action|Adventure|Western,The Lone Ranger ,181792,45757,1,horse|outlaw|texas|texas ranger|train,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711,English,USA,PG-13,215000000,2013,6.5,2.35,48000,15,6,6,2,0,1,1
Color,733,143,0,291021565,Action|Adventure|Fantasy|Sci-Fi,Man of Steel ,548573,20495,0,based on comic book|british actor playing american character|final battle|origin of hero|reboot,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536,English,USA,PG-13,225000000,2013,7.2,2.35,118000,17,4,4,8,0,0,3
Color,258,150,80,141614023,Action|Adventure|Family|Fantasy,The Chronicles of Narnia: Prince Caspian ,149922,22697,4,brother brother relationship|brother sister relationship|good versus evil|king|narnia,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438,English,USA,PG,225000000,2008,6.6,2.35,0,11,5,5,3,0,0,4
Color,703,173,0,623279547,Action|Adventure|Sci-Fi,The Avengers ,995415,87697,3,alien invasion|assassin|battle|iron man|soldier,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,English,USA,PG-13,220000000,2012,8.1,1.85,123000,12,3,3,5,0,0,5
Color,448,136,252,241063875,Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides ,370704,54083,4,blackbeard|captain|pirate|revenge|soldier,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484,English,USA,PG-13,250000000,2011,6.7,2.35,58000,12,2,2,6,1,0,6
Color,451,106,188,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Men in Black 3 ,268154,12572,1,alien|criminal|m.i.b.|maximum security prison|prison,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341,English,USA,PG-13,225000000,2012,6.8,1.85,40000,9,4,4,7,2,0,7
Color,422,164,0,255108370,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies ,354228,9152,0,army|elf|hobbit|middle earth|orc,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802,English,New Zealand,PG-13,250000000,2014,7.5,2.35,65000,8,6,6,1,3,0,8
Color,599,153,464,262030663,Action|Adventure|Fantasy,The Amazing Spider-Man ,451803,28489,0,lizard|outcast|spider|spider man|teenager,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225,English,USA,PG-13,230000000,2012,7,2.35,56000,6,7,7,8,4,0,8
Color,343,156,0,105219735,Action|Adventure|Drama|History,Robin Hood ,211765,3244,0,1190s|archer|england|king of england|robin hood,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546,English,USA,PG-13,200000000,2010,6.7,2.35,17000,5,8,8,2,5,0,9
Color,509,186,0,258355354,Adventure|Fantasy,The Hobbit: The Desolation of Smaug ,483540,9152,6,dwarf|elf|lake town|mountain|sword and sorcery,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951,English,USA,PG-13,225000000,2013,7.9,2.35,83000,4,2,2,9,1,0,9
Color,251,113,129,70083519,Adventure|Family|Fantasy,The Golden Compass ,149019,24106,2,children|epic|friend|girl|quest,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666,English,USA,PG-13,180000000,2007,6.1,2.35,0,3,3,3,1,2,0,6
Color,446,201,0,218051260,Action|Adventure|Drama|Romance,King Kong ,316018,7123,0,animal name in title|ape abducts a woman|gorilla|island|king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,English,New Zealand,PG-13,207000000,2005,7.2,2.35,0,5,6,6,2,1,0,5
Color,315,194,0,658672302,Drama|Romance,Titanic ,793059,45223,0,artist|love|ship|titanic|wet,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528,English,USA,PG-13,200000000,1997,7.7,2.35,26000,8,7,7,3,2,2,4
Color,516,147,94,407197282,Action|Adventure|Sci-Fi,Captain America: Civil War ,272670,64798,0,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022,English,USA,PG-13,250000000,2016,8.2,2.35,72000,9,8,8,4,3,1,3
Color,377,131,532,65173160,Action|Adventure|Sci-Fi|Thriller,Battleship ,202382,26679,0,box office flop|hawaii|naval|oahu hawaii|ship,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751,English,USA,PG-13,209000000,2012,5.9,2.35,44000,10,9,9,5,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,num_male num_female num_asian num_black num_hispanic num_multiracial num_nativeamerican,,,,,,
